Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati,Immunizzati
San Piero Patti,83081,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1542,1133,1032
San Piero Patti,83081,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,920,794,754
San Salvatore di Fitalia,83082,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,632,497,473
San Salvatore di Fitalia,83082,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,451,414,406
San Teodoro,83090,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,760,535,504
San Teodoro,83090,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,404,318,304
Sant'Agata di Militello,83084,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,7516,5704,5268
Sant'Agata di Militello,83084,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,3689,3170,3078
Sant'Alessio Siculo,83085,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,899,551,518
Sant'Alessio Siculo,83085,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,456,332,318
Sant'Angelo di Brolo,83088,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1632,1178,1086
Sant'Angelo di Brolo,83088,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1010,867,847
Santa Domenica Vittoria,83083,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,567,451,417
Santa Domenica Vittoria,83083,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,245,235,227
Santa Lucia del Mela,83086,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2752,1737,1576
Santa Lucia del Mela,83086,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1294,1071,1037
Santa Marina Salina,83087,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,518,365,348
Santa Marina Salina,83087,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,265,183,178
